"work","type","celex","date"
"http://publications.europa.eu/resource/cellar/651a411b-3e2c-11e4-8c3c-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32014R0979",2014-09-16
"http://publications.europa.eu/resource/cellar/73d47487-a82e-4d68-b0f5-f14a6ec36c6d","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32011R0085",2011-01-31
"http://publications.europa.eu/resource/cellar/a283df79-dfcc-11e2-9165-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32013R0625",2013-06-27
"http://publications.europa.eu/resource/cellar/b22cd54d-b740-11e4-b3fe-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32015R0256",2015-02-13
"http://publications.europa.eu/resource/cellar/d7e76da8-efeb-11e6-8a35-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32017R0240",2017-02-10
"http://publications.europa.eu/resource/cellar/36127320-2978-4815-ad22-901f2c814d01","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32011R0879",2011-09-02
"http://publications.europa.eu/resource/cellar/a8b97f73-e65e-11e3-8cd4-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32014R0449",2014-05-02
"http://publications.europa.eu/resource/cellar/6db42361-0206-11e6-b713-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32016R0574",2016-04-13
"http://publications.europa.eu/resource/cellar/7e25249c-9cd1-11e6-868c-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32016R1896",2016-10-27
"http://publications.europa.eu/resource/cellar/1bcf77c4-ed43-11e3-8cd4-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32014R0355R(02)",2014-06-06
"http://publications.europa.eu/resource/cellar/4427f463-adee-473b-8ca8-5b2cf9b20d1d","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32012R0508",2012-06-20
"http://publications.europa.eu/resource/cellar/67873aec-0249-11e2-8e28-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32012R0508R(01)",2012-09-19
"http://publications.europa.eu/resource/cellar/6f463492-e5b5-11e3-8cd4-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32014R0355R(01)",2014-05-09
"http://publications.europa.eu/resource/cellar/a3f2920a-54ec-47b9-af91-1f6c4dfc8318","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32011R0590R(01)",2011-12-07
"http://publications.europa.eu/resource/cellar/c594bffd-bac1-11e1-b84a-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32012R0522",2012-06-19
"http://publications.europa.eu/resource/cellar/d430c68f-1c91-11e5-a342-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32013R0125R(01)",2015-06-27
"http://publications.europa.eu/resource/cellar/8e8ce948-4196-4197-b254-ff954b0f5994","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32011R1373",2011-12-21
"http://publications.europa.eu/resource/cellar/9737da43-d3da-11e6-ad7c-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32017R0006",2017-01-05
"http://publications.europa.eu/resource/cellar/9efe5ad0-4c0b-11e7-aea8-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32017R0961",2017-06-07
"http://publications.europa.eu/resource/cellar/b75b0eb9-f4c5-4082-b070-b51c374a02fc","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32012R0400",2012-05-07
"http://publications.europa.eu/resource/cellar/dcd8a785-f042-11e2-a22e-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32013R0686",2013-07-16
"http://publications.europa.eu/resource/cellar/98305543-377e-11e6-a825-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32016R0984",2016-06-07
"http://publications.europa.eu/resource/cellar/a1d1c58e-164d-45f5-a3bb-a1a2a7aec138","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32013R0504",2013-05-31
"http://publications.europa.eu/resource/cellar/c77e8ef3-3a76-11e5-98a0-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32015R1343",2015-08-03
"http://publications.europa.eu/resource/cellar/f15beb58-febb-11e4-a4c8-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32015R0783",2015-05-19
"http://publications.europa.eu/resource/cellar/477db4e1-3344-11e3-8d1c-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32013R0977",2013-10-11
"http://publications.europa.eu/resource/cellar/6b8e76be-e368-11e4-b1d3-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32015R0586",2015-03-26
"http://publications.europa.eu/resource/cellar/1448aa1a-e396-40cc-9cca-5a71b8942b79","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32013R0507",2013-05-31
"http://publications.europa.eu/resource/cellar/323043a7-9567-11e2-ab01-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32013R0274",2013-03-19
"http://publications.europa.eu/resource/cellar/304e5d90-55d3-11e4-a0cb-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32014R1095",2014-10-16
"http://publications.europa.eu/resource/cellar/7e68076a-a91d-11e4-8e01-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32015R0147",2015-01-30
"http://publications.europa.eu/resource/cellar/83910b93-c0b3-4868-80d4-093d498b3ce1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32011R0506R(01)",2011-06-25
"http://publications.europa.eu/resource/cellar/fd023a4f-dcf7-4011-a04b-11ea2bc5f5e9","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32012R0660",2012-07-19
"http://publications.europa.eu/resource/cellar/0825fd7c-8fc6-11e2-b5c3-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32013R0234",2013-03-15
"http://publications.europa.eu/resource/cellar/3a48bed4-c89f-11e6-a6db-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32016R2379",2016-12-22
"http://publications.europa.eu/resource/cellar/e031850f-2ec7-11e6-b497-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32016R0914",2016-06-09
"http://publications.europa.eu/resource/cellar/b4ced8b5-a416-11e7-9ca9-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32017R1760",2017-09-27
"http://publications.europa.eu/resource/cellar/4e8c1999-9576-11e2-ab01-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32013R0137R(01)",2013-03-23
"http://publications.europa.eu/resource/cellar/867758b5-9851-11e6-a21d-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32016R1875",2016-10-21
"http://publications.europa.eu/resource/cellar/1c5f8c62-750b-11e2-9294-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32013R0120",2013-02-11
"http://publications.europa.eu/resource/cellar/bf7cb5d8-38d7-4ca3-b119-6cfee761afe4","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32011R0648",2011-07-04
"http://publications.europa.eu/resource/cellar/cdd85c43-1292-4002-b658-0df7d47a617b","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32012R0424",2012-05-21
"http://publications.europa.eu/resource/cellar/25ea42e4-f10b-11e2-a22e-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32013R0693",2013-07-19
"http://publications.europa.eu/resource/cellar/65df101d-3a53-11e2-b7ce-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32012R1103",2012-11-26
"http://publications.europa.eu/resource/cellar/2a863e48-8263-11e2-89d6-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32013R0178",2013-02-28
"http://publications.europa.eu/resource/cellar/dfaa0574-1a8a-11e7-808e-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32017R0646",2017-04-05
"http://publications.europa.eu/resource/cellar/fb7e689f-564f-11e7-a5ca-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32017R1097",2017-06-20
"http://publications.europa.eu/resource/cellar/8d5afbdf-fe91-11e3-831f-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32014R0720",2014-06-27
"http://publications.europa.eu/resource/cellar/81d1c0c7-c7d4-4590-9366-9d8e2b103d58","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32011R0461",2011-05-12
"http://publications.europa.eu/resource/cellar/897616b1-faf4-11e5-b713-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32016R0525",2016-03-30
"http://publications.europa.eu/resource/cellar/ec28271c-dbf8-4297-8891-4ca01b3cd661","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32012R0302R(01)",2012-07-11
"http://publications.europa.eu/resource/cellar/bb80d95a-1c90-11e5-a342-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32015R1014",2015-06-25
"http://publications.europa.eu/resource/cellar/bf49df9a-3d91-11e5-9f5a-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32015R1371",2015-08-07
"http://publications.europa.eu/resource/cellar/84391724-3518-11e6-914e-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32016R0977",2016-06-17
"http://publications.europa.eu/resource/cellar/fc5de91a-345b-11e6-969e-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32016R0964",2016-06-16
"http://publications.europa.eu/resource/cellar/7af46d6a-0139-43e7-9ade-2b56a54b3e89","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32012R0063",2012-01-24
"http://publications.europa.eu/resource/cellar/2efba930-e3b0-11e2-9165-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32013R0639",2013-07-02
"http://publications.europa.eu/resource/cellar/89a05284-2d91-11e3-8d1c-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32013R0958",2013-10-04
"http://publications.europa.eu/resource/cellar/0454561f-2089-4c24-8d57-e6c822123533","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32011R0392",2011-04-19
"http://publications.europa.eu/resource/cellar/7d8f73f7-63f8-11e4-9cbe-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32014R1185",2014-11-03
"http://publications.europa.eu/resource/cellar/8c40dce1-a1c7-4195-b03b-7f539c4cf41a","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32011R0645",2011-07-01
"http://publications.europa.eu/resource/cellar/d2e18627-51ef-4810-9b4e-f4bac22f8584","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32011R1196",2011-11-17
"http://publications.europa.eu/resource/cellar/3fdcf36f-2fcf-11e7-9412-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32017R0766",2017-05-02
"http://publications.europa.eu/resource/cellar/61aa8d7c-7bd0-11e6-b076-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32016R1662",2016-09-12
"http://publications.europa.eu/resource/cellar/f2ba9471-68c8-11e5-9317-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32015R1756",2015-09-21
"http://publications.europa.eu/resource/cellar/acb7a474-26f8-11e6-86d0-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32016R0855",2016-05-30
"http://publications.europa.eu/resource/cellar/2ca789c9-7bd0-11e6-b076-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32016R1667",2016-09-15
"http://publications.europa.eu/resource/cellar/35612cd3-d8e4-11e2-bfa7-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32013R0563",2013-06-14
"http://publications.europa.eu/resource/cellar/31a233cb-5218-497a-b155-79a2f063c5c1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32011R0961R(01)",2011-11-26
"http://publications.europa.eu/resource/cellar/e0f909f8-9193-46b1-8b63-fdd20b50cd43","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32012R0042",2012-01-18
"http://publications.europa.eu/resource/cellar/726e0d92-a19c-4201-bc24-6a880685a75d","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32011R0237",2011-03-11
"http://publications.europa.eu/resource/cellar/dfee4060-6d81-11e5-9317-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32015R1802",2015-10-07
"http://publications.europa.eu/resource/cellar/ff40864a-7972-11e6-b076-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32016R1643",2016-09-12
